loan_dim_loan_dim_id;account_dim_account_id;amount;duration;payments;calendar_dim_year ;calendar_dim_month;calendar_dim_day
6591;7819;20832;48;434.00;95;2;2
5724;3678;316140;60;5269.00;95;2;5
6315;6472;43164;12;3597.00;95;2;6
5876;4413;221280;48;4610.00;95;2;8
6986;9750;151728;48;3161.00;95;2;11
6294;6353;79920;60;1332.00;95;2;12
5132;817;538500;60;8975.00;95;2;17
5877;4414;97224;24;4051.00;95;2;23
6227;6030;28248;24;1177.00;95;3;4
7241;11021;168984;24;7041.00;95;3;4
6737;8564;76680;24;3195.00;95;3;11
7004;9869;331560;60;5526.00;95;3;15
6169;5700;103680;60;1728.00;95;3;16
5208;1247;99696;48;2077.00;95;3;16
6694;8316;134784;24;5616.00;95;3;19
5599;3064;15420;12;1285.00;95;3;21
6546;7607;31728;24;1322.00;95;3;27
5414;2228;185952;48;3874.00;95;3;29
5453;2361;156672;36;4352.00;95;4;1
5740;3752;18564;12;1547.00;95;4;2
5804;4079;158976;48;3312.00;95;4;5
6745;8625;47304;24;1971.00;95;4;10
6950;9591;104712;24;4363.00;95;4;11
6996;9828;126600;24;5275.00;95;4;13
5352;1993;68400;12;5700.00;95;4;15
6151;5628;225420;60;3757.00;95;4;25
5310;1762;248148;36;6893.00;95;4;28
5045;347;187224;24;7801.00;95;5;1
6929;9472;36396;12;3033.00;95;5;8
5151;960;189060;60;3151.00;95;5;24
5212;1256;71064;36;1974.00;95;5;29
5138;854;87216;48;1817.00;95;5;30
5713;3629;158760;60;2646.00;95;5;30
6704;8377;417060;60;6951.00;95;6;1
6474;7190;63360;60;1056.00;95;6;6
6676;8159;29784;24;1241.00;95;6;13
6965;9656;139536;24;5814.00;95;6;13
6725;8489;265320;36;7370.00;95;6;23
7166;10630;198240;24;8260.00;95;6;24
7138;10440;60000;60;1000.00;95;7;3
5970;4774;465072;48;9689.00;95;7;9
6157;5650;98592;24;4108.00;95;7;10
6153;5632;285600;60;4760.00;95;7;25
5693;3489;44088;24;1837.00;95;8;1
5922;4580;20220;12;1685.00;95;8;5
5959;4727;107640;24;4485.00;95;8;11
5980;4825;21396;12;1783.00;95;8;18
6764;8776;33984;48;708.00;95;8;26
5237;1375;45336;24;1889.00;95;8;29
6726;8492;85860;60;1431.00;95;9;3
6933;9493;188688;48;3931.00;95;9;9
5145;915;309552;48;6449.00;95;9;16
7008;9897;36168;12;3014.00;95;9;22
7227;10942;314520;60;5242.00;95;10;2
6600;7861;21852;36;607.00;95;10;8
6712;8405;266220;60;4437.00;95;10;14
7057;10093;231696;36;6436.00;95;10;20
7176;10663;260028;36;7223.00;95;10;28
7304;11349;419880;60;6998.00;95;10;29
6362;6738;37908;12;3159.00;95;10;31
5880;4423;73836;36;2051.00;95;10;31
6535;7546;41952;12;3496.00;95;11;2
5449;2343;99336;24;4139.00;95;11;4
6342;6609;60156;36;1671.00;95;11;12
5409;2218;182040;60;3034.00;95;11;18
6955;9627;244368;48;5091.00;95;11;22
6985;9731;113796;36;3161.00;95;11;22
5125;789;73056;48;1522.00;95;11;23
5805;4081;137904;24;5746.00;95;11;28
6185;5774;31176;24;1299.00;95;11;28
7243;11042;217152;36;6032.00;95;12;4
6403;6924;194880;48;4060.00;95;12;5
6578;7765;27984;12;2332.00;95;12;11
5413;2227;92976;24;3874.00;95;12;12
6949;9583;104712;24;4363.00;95;12;12
6545;7606;191880;60;3198.00;95;12;12
6178;5742;232560;48;4845.00;95;12;16
5160;1011;204000;60;3400.00;95;12;18
6785;8899;125340;60;2089.00;95;12;25
6540;7562;309600;48;6450.00;95;12;31
6589;7815;189696;24;7904.00;96;1;1
5900;4503;135360;48;2820.00;96;1;1
5999;4907;98832;48;2059.00;96;1;3
6043;5126;20352;48;424.00;96;1;11
5482;2496;165120;60;2752.00;96;1;12
7263;11138;89880;24;3745.00;96;1;19
6013;4995;128988;36;3583.00;96;2;3
5750;3804;63252;12;5271.00;96;2;8
6027;5066;61656;24;2569.00;96;2;10
6303;6400;72408;24;3017.00;96;2;12
7213;10884;113544;36;3154.00;96;2;13
6659;8092;56100;60;935.00;96;2;20
6175;5735;290700;60;4845.00;96;2;21
5610;3112;123216;48;2567.00;96;2;24
5563;2912;380160;60;6336.00;96;2;29
5989;4852;213300;36;5925.00;96;3;4
6698;8327;247728;48;5161.00;96;3;10
5312;1772;202788;36;5633.00;96;3;13
7189;10728;154656;48;3222.00;96;3;21
6816;9017;100224;48;2088.00;96;3;26
6137;5574;44628;12;3719.00;96;4;10
5128;808;215616;48;4492.00;96;4;11
5470;2456;200976;48;4187.00;96;4;15
5593;3037;277884;36;7719.00;96;4;18
5350;1967;249312;48;5194.00;96;4;21
6063;5213;320976;48;6687.00;96;4;25
6501;7418;30276;12;2523.00;96;4;29
5452;2352;49440;60;824.00;96;4;29
4961;19;30276;12;2523.00;96;4;29
4973;67;165960;24;6915.00;96;5;2
6190;5794;123600;60;2060.00;96;5;6
6715;8411;220620;60;3677.00;96;5;6
5892;4462;66480;24;2770.00;96;5;14
6550;7614;320592;48;6679.00;96;5;18
5706;3608;161496;36;4486.00;96;5;24
5148;940;284280;60;4738.00;96;5;29
6734;8547;173016;36;4806.00;96;5;30
6109;5422;368880;60;6148.00;96;6;3
6961;9645;176148;36;4893.00;96;6;6
6810;9006;186384;48;3883.00;96;6;8
5494;2572;360000;48;7500.00;96;6;13
5311;1766;30060;60;501.00;96;6;15
5445;2322;46320;24;1930.00;96;6;29
5301;1698;141948;36;3943.00;96;7;6
7034;10001;19044;36;529.00;96;7;11
6751;8680;85716;36;2381.00;96;7;14
6667;8127;155880;24;6495.00;96;7;15
6130;5541;32640;48;680.00;96;7;18
5429;2268;20196;36;561.00;96;7;18
5725;3679;444864;48;9268.00;96;7;23
6019;5033;11400;12;950.00;96;7;25
6421;6985;96768;36;2688.00;96;7;25
6992;9790;133968;48;2791.00;96;7;27
5136;846;187104;24;7796.00;96;7;28
5337;1886;162468;36;4513.00;96;7;31
5495;2580;89340;60;1489.00;96;8;2
7013;9928;89340;60;1489.00;96;8;2
6012;4994;258444;36;7179.00;96;8;3
6471;7184;155640;24;6485.00;96;8;4
6296;6358;270384;48;5633.00;96;8;6
7305;11359;54024;12;4502.00;96;8;6
6144;5593;44376;12;3698.00;96;8;9
6283;6289;85632;48;1784.00;96;8;11
7246;11054;148920;60;2482.00;96;8;20
5088;544;91152;24;3798.00;96;8;22
5988;4851;141648;24;5902.00;96;8;22
5282;1583;388512;48;8094.00;96;8;24
5938;4650;402000;60;6700.00;96;8;25
5606;3084;253512;36;7042.00;96;8;28
5385;2143;71460;36;1985.00;96;9;9
6865;9199;29448;12;2454.00;96;9;11
5586;2994;48744;36;1354.00;96;9;14
6302;6397;181020;60;3017.00;96;9;16
7194;10762;68832;36;1912.00;96;9;17
6461;7136;74124;36;2059.00;96;9;19
6732;8533;174048;48;3626.00;96;9;19
6613;7926;84120;24;3505.00;96;9;22
7036;10019;194940;36;5415.00;96;9;25
5897;4476;15192;24;633.00;96;9;25
6995;9814;96168;12;8014.00;96;9;26
5415;2236;139464;36;3874.00;96;9;26
7136;10436;54396;36;1511.00;96;9;28
7271;11186;392460;60;6541.00;96;10;2
5375;2106;101520;12;8460.00;96;10;3
5635;3230;77184;36;2144.00;96;10;4
6817;9024;70656;48;1472.00;96;10;4
5923;4585;64656;48;1347.00;96;10;10
5329;1862;396120;60;6602.00;96;10;16
6644;8039;93600;24;3900.00;96;10;20
6354;6688;22968;36;638.00;96;10;23
5082;501;262980;60;4383.00;96;10;24
6585;7795;372120;60;6202.00;96;10;29
6921;9422;86184;12;7182.00;96;10;29
5366;2062;86184;12;7182.00;96;10;29
5886;4447;192744;36;5354.00;96;10;31
5741;3754;68544;24;2856.00;96;11;3
4996;132;88440;12;7370.00;96;11;6
6015;5001;110112;24;4588.00;96;11;9
6309;6434;110136;24;4589.00;96;11;11
6073;5263;276300;60;4605.00;96;11;12
6006;4948;359760;60;5996.00;96;11;15
5611;3115;321180;60;5353.00;96;11;15
6944;9548;46176;48;962.00;96;11;15
7101;10297;421008;48;8771.00;96;11;18
6599;7859;72120;12;6010.00;96;11;19
6940;9510;228276;36;6341.00;96;11;22
5209;1250;182640;48;3805.00;96;11;25
5388;2153;61560;12;5130.00;96;11;28
6011;4981;179328;48;3736.00;96;11;28
5591;3021;155616;48;3242.00;96;12;4
7154;10520;417600;60;6960.00;96;12;5
7130;10411;123408;24;5142.00;96;12;11
6818;9030;155616;48;3242.00;96;12;12
5625;3189;222180;60;3703.00;96;12;15
6805;8972;45024;48;938.00;96;12;21
7233;10963;115812;36;3217.00;96;12;25
7308;11362;129408;24;5392.00;96;12;27
5895;4473;93960;60;1566.00;97;1;3
7122;10365;260640;36;7240.00;97;1;4
6173;5724;232560;48;4845.00;97;1;8
6142;5591;221880;60;3698.00;97;1;21
5358;2018;38520;12;3210.00;97;1;21
6095;5358;68340;60;1139.00;97;1;24
6878;9242;23184;12;1932.00;97;1;24
6554;7637;390096;48;8127.00;97;1;29
6793;8931;186300;60;3105.00;97;1;30
7286;11271;67320;36;1870.00;97;1;31
6076;5269;117420;60;1957.00;97;2;2
5134;825;53076;12;4423.00;97;2;2
5419;2246;415800;60;6930.00;97;2;5
6255;6158;247920;48;5165.00;97;2;8
5656;3353;146064;24;6086.00;97;2;9
6934;9494;116832;12;9736.00;97;2;9
6028;5072;317520;60;5292.00;97;2;9
6490;7262;73260;60;1221.00;97;2;10
6415;6950;475680;48;9910.00;97;2;12
7087;10215;44304;24;1846.00;97;2;20
5420;2247;72504;24;3021.00;97;2;24
5977;4803;59136;48;1232.00;97;2;25
6824;9052;71976;24;2999.00;97;2;26
5207;1244;35904;48;748.00;97;2;28
7115;10351;88704;48;1848.00;97;3;4
7250;11069;119136;48;2482.00;97;3;4
6010;4969;150180;60;2503.00;97;3;6
6088;5317;90180;36;2505.00;97;3;7
5682;3455;67464;12;5622.00;97;3;7
7201;10807;67464;12;5622.00;97;3;7
6938;9504;341280;60;5688.00;97;3;10
6875;9235;83280;48;1735.00;97;3;13
5953;4715;97176;24;4049.00;97;3;14
5942;4681;162624;48;3388.00;97;3;15
5382;2134;22932;36;637.00;97;3;17
6377;6792;17184;12;1432.00;97;3;17
5931;4618;66696;24;2779.00;97;3;17
5992;4863;76080;12;6340.00;97;3;18
5790;4033;84288;48;1756.00;97;3;20
6753;8688;67980;12;5665.00;97;3;20
6562;7674;94488;24;3937.00;97;3;21
7046;10049;91632;12;7636.00;97;3;28
5868;4361;90156;12;7513.00;97;3;29
5784;3967;84600;36;2350.00;97;3;29
5878;4415;74040;12;6170.00;97;4;1
5110;675;102240;60;1704.00;97;4;1
5210;1252;148140;36;4115.00;97;4;1
7230;10954;18720;60;312.00;97;4;2
5005;176;27456;12;2288.00;97;4;10
6871;9225;164256;48;3422.00;97;4;13
5363;2051;293880;60;4898.00;97;4;22
7253;11079;98304;12;8192.00;97;4;26
6055;5181;399120;60;6652.00;97;4;28
5072;472;196800;24;8200.00;97;4;28
6913;9377;99936;24;4164.00;97;4;29
6386;6856;124344;36;3454.00;97;4;30
5634;3229;39024;12;3252.00;97;5;1
5758;3859;307200;60;5120.00;97;5;2
6819;9031;50112;24;2088.00;97;5;3
7088;10233;239160;60;3986.00;97;5;3
5039;314;66840;24;2785.00;97;5;3
5532;2754;335280;48;6985.00;97;5;4
6037;5118;53232;48;1109.00;97;5;4
6322;6510;76992;24;3208.00;97;5;6
6887;9263;39576;12;3298.00;97;5;8
6660;8094;220428;36;6123.00;97;5;9
5451;2350;159744;48;3328.00;97;5;11
6014;4999;165168;36;4588.00;97;5;18
5556;2872;268320;60;4472.00;97;5;19
6346;6649;100260;60;1671.00;97;5;22
5850;4293;164196;36;4561.00;97;5;22
5940;4660;106944;24;4456.00;97;5;28
7119;10361;86880;12;7240.00;97;6;2
5253;1447;100080;48;2085.00;97;6;3
6851;9138;272220;60;4537.00;97;6;3
6695;8320;309660;60;5161.00;97;6;4
6908;9353;188616;24;7859.00;97;6;8
7255;11096;213300;60;3555.00;97;6;9
5674;3418;207264;48;4318.00;97;6;10
6278;6265;87360;24;3640.00;97;6;10
5486;2516;466608;48;9721.00;97;6;13
5174;1093;385104;48;8023.00;97;6;13
6621;7957;42900;12;3575.00;97;6;14
6313;6461;150912;36;4192.00;97;6;15
6435;7045;288720;48;6015.00;97;6;16
6970;9677;31620;60;527.00;97;6;17
6310;6440;34572;12;2881.00;97;6;17
5932;4626;33348;12;2779.00;97;6;18
6877;9241;285240;60;4754.00;97;6;19
6763;8772;88272;48;1839.00;97;6;19
7085;10202;305424;48;6363.00;97;6;19
7049;10063;233424;36;6484.00;97;6;24
6959;9633;59448;24;2477.00;97;6;30
5214;1270;74772;36;2077.00;97;7;1
6350;6678;294384;48;6133.00;97;7;9
5063;442;357840;48;7455.00;97;7;10
5041;319;369000;60;6150.00;97;7;11
5086;525;210384;48;4383.00;97;7;16
6942;9513;18324;12;1527.00;97;7;16
5270;1528;191088;48;3981.00;97;7;21
6705;8381;333648;48;6951.00;97;7;25
7051;10068;77808;12;6484.00;97;7;28
6758;8742;33144;12;2762.00;97;7;29
6249;6138;67608;24;2817.00;97;7;30
5808;4099;41856;48;872.00;97;7;31
5377;2116;92400;12;7700.00;97;8;4
5446;2334;48312;24;2013.00;97;8;4
5856;4320;51360;12;4280.00;97;8;9
4986;97;102876;12;8573.00;97;8;10
7001;9859;300600;60;5010.00;97;8;10
6677;8169;97980;60;1633.00;97;8;12
6665;8114;99300;60;1655.00;97;8;15
5817;4127;100800;24;4200.00;97;8;15
6984;9730;116040;60;1934.00;97;8;15
6541;7565;153504;48;3198.00;97;8;17
5117;718;76944;12;6412.00;97;8;20
6097;5362;202848;48;4226.00;97;8;21
5389;2165;78600;24;3275.00;97;8;22
7219;10905;57120;48;1190.00;97;8;23
6338;6592;390660;60;6511.00;97;8;24
6922;9424;83628;36;2323.00;97;8;26
5367;2064;83628;36;2323.00;97;8;26
5638;3249;68124;12;5677.00;97;8;27
5830;4190;405780;60;6763.00;97;8;28
5338;1888;57360;12;4780.00;97;8;30
6007;4949;289920;48;6040.00;97;8;30
6612;7907;97392;12;8116.00;97;8;31
5718;3637;14028;12;1169.00;97;9;1
6104;5395;158184;36;4394.00;97;9;5
5229;1329;23520;12;1960.00;97;9;6
6625;7966;473280;60;7888.00;97;9;7
5206;1242;128544;24;5356.00;97;9;7
5963;4746;204780;60;3413.00;97;9;7
4990;110;162576;36;4516.00;97;9;8
6641;8026;128268;36;3563.00;97;9;9
5369;2080;214596;36;5961.00;97;9;12
6196;5837;177804;36;4939.00;97;9;14
5236;1374;389136;48;8107.00;97;9;15
5719;3664;271584;48;5658.00;97;9;20
5643;3273;94512;12;7876.00;97;9;21
7050;10065;311232;48;6484.00;97;9;23
6355;6699;127200;48;2650.00;97;9;24
6688;8268;8616;24;359.00;97;9;26
6239;6083;360864;48;7518.00;97;9;28
5531;2753;66432;24;2768.00;97;9;30
6113;5445;78696;36;2186.00;97;10;1
7181;10679;197808;24;8242.00;97;10;2
6118;5477;349392;48;7279.00;97;10;4
7264;11141;44940;12;3745.00;97;10;7
5343;1906;44952;24;1873.00;97;10;8
5051;378;230400;60;3840.00;97;10;11
5779;3942;107352;36;2982.00;97;10;14
6605;7890;79344;48;1653.00;97;10;14
6655;8085;260400;60;4340.00;97;10;17
6534;7542;590820;60;9847.00;97;10;19
5681;3448;68664;24;2861.00;97;10;20
6607;7894;153144;36;4254.00;97;10;21
6242;6097;26208;36;728.00;97;10;22
7242;11027;48096;24;2004.00;97;10;23
7277;11231;89280;12;7440.00;97;10;24
6675;8158;238716;36;6631.00;97;11;1
5398;2187;53472;12;4456.00;97;11;4
5956;4725;168264;36;4674.00;97;11;4
5731;3711;460980;60;7683.00;97;11;5
6956;9631;59448;24;2477.00;97;11;9
6437;7052;63972;36;1777.00;97;11;9
5447;2335;541200;60;9020.00;97;11;12
5973;4784;219456;48;4572.00;97;11;24
6075;5267;129312;24;5388.00;97;11;26
5281;1580;194256;24;8094.00;97;11;27
5103;666;12540;12;1045.00;97;11;28
6468;7176;203940;60;3399.00;97;11;30
7209;10857;385560;60;6426.00;97;11;30
5584;2986;24792;24;1033.00;97;12;6
4988;103;265320;36;7370.00;97;12;6
6502;7424;30276;12;2523.00;97;12;8
5651;3329;19248;12;1604.00;97;12;8
4962;25;30276;12;2523.00;97;12;8
5862;4342;100128;24;4172.00;97;12;9
7199;10789;45768;12;3814.00;97;12;9
6727;8505;42840;12;3570.00;97;12;10
7279;11244;155760;24;6490.00;97;12;11
6544;7594;130464;48;2718.00;97;12;11
5933;4631;87528;24;3647.00;97;12;13
6574;7745;77544;36;2154.00;97;12;20
6399;6902;49320;36;1370.00;97;12;21
7187;10711;24180;60;403.00;97;12;24
6353;6686;116496;24;4854.00;97;12;25
5043;339;468060;60;7801.00;97;12;25
5469;2445;293160;60;4886.00;97;12;26
5976;4794;465504;48;9698.00;97;12;27
6059;5196;79824;12;6652.00;97;12;28
5799;4052;106128;36;2948.00;97;12;28
6147;5602;177504;48;3698.00;97;12;28
6254;6157;247920;48;5165.00;97;12;28
7100;10280;348120;60;5802.00;97;12;31
7147;10478;267600;48;5575.00;98;1;2
5909;4550;61320;60;1022.00;98;1;3
7037;10022;218064;48;4543.00;98;1;3
5782;3953;63576;12;5298.00;98;1;4
6237;6075;407952;48;8499.00;98;1;6
6552;7632;170448;48;3551.00;98;1;8
7067;10134;136368;24;5682.00;98;1;11
5320;1819;143676;36;3991.00;98;1;11
5930;4616;66696;24;2779.00;98;1;12
6486;7240;152160;60;2536.00;98;1;15
5245;1407;125472;24;5228.00;98;1;17
6643;8038;35856;24;1494.00;98;1;18
5260;1480;123300;36;3425.00;98;1;19
5569;2936;504000;60;8400.00;98;1;20
7110;10345;31260;12;2605.00;98;1;21
7139;10445;23412;12;1951.00;98;1;22
6791;8926;566640;60;9444.00;98;1;23
5360;2035;176328;36;4898.00;98;1;25
5287;1638;64224;24;2676.00;98;1;26
6553;7636;42384;12;3532.00;98;1;26
7072;10148;22104;12;1842.00;98;1;27
6044;5133;57060;12;4755.00;98;1;27
5332;1869;37944;36;1054.00;98;1;29
6866;9201;122472;24;5103.00;98;2;5
6633;7997;160656;24;6694.00;98;2;5
6926;9455;374760;60;6246.00;98;2;7
6442;7082;194160;48;4045.00;98;2;8
5889;4456;321240;60;5354.00;98;2;9
5765;3875;153936;24;6414.00;98;2;10
5124;785;156096;36;4336.00;98;2;12
5491;2545;428784;48;8933.00;98;2;13
6730;8523;93036;12;7753.00;98;2;15
7151;10493;133800;24;5575.00;98;2;18
5140;873;178500;60;2975.00;98;2;24
7171;10650;196224;48;4088.00;98;2;24
6568;7713;220440;60;3674.00;98;2;25
6861;9179;215040;60;3584.00;98;2;28
6855;9153;52236;36;1451.00;98;3;1
7129;10404;194280;60;3238.00;98;3;1
5384;2142;23328;12;1944.00;98;3;7
6859;9167;272220;60;4537.00;98;3;7
5772;3906;334620;60;5577.00;98;3;8
5665;3390;40632;12;3386.00;98;3;11
6495;7274;49044;12;4087.00;98;3;12
5061;440;84288;48;1756.00;98;3;13
6948;9560;157068;36;4363.00;98;3;15
5773;3907;133848;24;5577.00;98;3;16
6052;5164;22356;36;621.00;98;3;23
6682;8225;36204;12;3017.00;98;3;30
6083;5305;240528;48;5011.00;98;3;31
6962;9646;279072;48;5814.00;98;4;2
5158;1004;188532;36;5237.00;98;4;11
6464;7156;49488;24;2062.00;98;4;16
5172;1083;50976;36;1416.00;98;4;16
5582;2982;41256;12;3438.00;98;4;17
6136;5572;140880;60;2348.00;98;4;19
6235;6062;321360;60;5356.00;98;4;19
6508;7437;110736;48;2307.00;98;4;19
4968;38;110736;48;2307.00;98;4;19
6632;7990;144960;48;3020.00;98;4;23
7195;10774;339168;48;7066.00;98;4;23
5525;2720;93888;36;2608.00;98;4;27
6320;6495;104964;12;8747.00;98;4;28
6766;8784;74352;24;3098.00;98;4;28
6872;9227;191580;60;3193.00;98;4;29
5906;4533;81144;36;2254.00;98;5;5
7172;10652;45720;12;3810.00;98;5;7
6571;7733;140064;24;5836.00;98;5;12
5616;3143;130896;24;5454.00;98;5;15
6312;6453;10944;36;304.00;98;5;17
6470;7181;49872;12;4156.00;98;5;17
5147;938;22260;60;371.00;98;5;21
5501;2622;136344;24;5681.00;98;5;21
6436;7049;495180;60;8253.00;98;5;22
5699;3562;174960;24;7290.00;98;5;24
5313;1776;43200;24;1800.00;98;5;27
6234;6061;5148;12;429.00;98;5;28
6569;7721;45456;12;3788.00;98;5;28
7202;10812;140688;48;2931.00;98;5;29
5683;3460;140688;48;2931.00;98;5;29
5034;303;112752;36;3132.00;98;5;30
5435;2279;314688;48;6556.00;98;6;1
5815;4116;151200;36;4200.00;98;6;3
5589;3005;390000;48;8125.00;98;6;5
6746;8639;185640;60;3094.00;98;6;6
6790;8919;76104;24;3171.00;98;6;8
6857;9159;69600;48;1450.00;98;6;8
6450;7099;234336;48;4882.00;98;6;10
7221;10915;152460;60;2541.00;98;6;11
5527;2728;156420;60;2607.00;98;6;15
5620;3161;30012;12;2501.00;98;6;16
6215;5944;78720;48;1640.00;98;6;18
7167;10644;269964;36;7499.00;98;6;18
5823;4144;212976;36;5916.00;98;6;21
6207;5912;184620;60;3077.00;98;6;23
6932;9491;225504;48;4698.00;98;6;25
5669;3403;71820;36;1995.00;98;6;27
5154;993;108720;60;1812.00;98;7;1
7168;10645;208332;36;5787.00;98;7;5
5585;2988;88608;12;7384.00;98;7;8
7200;10799;31140;60;519.00;98;7;11
6539;7559;12792;12;1066.00;98;7;11
5774;3916;96984;36;2694.00;98;7;12
6357;6706;64860;60;1081.00;98;7;12
5042;330;331584;48;6908.00;98;7;12
5015;226;109344;12;9112.00;98;7;12
5354;2000;290820;60;4847.00;98;7;14
6054;5180;58764;12;4897.00;98;7;16
7295;11328;280440;60;4674.00;98;7;18
5365;2055;271260;60;4521.00;98;7;19
